term,sim_preemption,sim_norms,net_preemption_minus_norms,net_norms_minus_preemption
possible threat,0.5052071,0.07111016,0.43409696,-0.43409696
threat assessment,0.5557251,0.13062365,0.42510146,-0.42510146
early warning,0.46304038,0.05960919,0.40343118,-0.40343118
automated suspicion,0.49989396,0.13526984,0.36462414,-0.36462414
algorithmic surveillance,0.4562017,0.10697575,0.34922594,-0.34922594
proactive monitoring,0.41752702,0.08545655,0.33207047,-0.33207047
high-risk user,0.46399164,0.13922669,0.32476497,-0.32476497
preemptive intervention,0.46980435,0.19069435,0.27911,-0.27911
automated detection,0.33332765,0.07158862,0.26173902,-0.26173902
prevention,0.38686568,0.12993303,0.25693265,-0.25693265
anomaly detection,0.3848967,0.13932528,0.24557142,-0.24557142
risk scoring,0.40942854,0.16812238,0.24130616,-0.24130616
preventive action,0.37084943,0.14792192,0.22292751,-0.22292751
mass scanning,0.21723464,-0.003823273,0.22105792,-0.22105792
risk-based,0.47619438,0.26854664,0.20764774,-0.20764774
suspicion,0.30852222,0.108796984,0.19972524,-0.19972524
detection,0.36871314,0.18053198,0.18818116,-0.18818116
proactive enforcement,0.5019805,0.329696,0.17228448,-0.17228448
data minimisation,0.2526086,0.08051058,0.17209801,-0.17209801
bulk monitoring,0.20336866,0.05027984,0.15308882,-0.15308882
content scanning,0.1874223,0.065139785,0.12228252,-0.12228252
probable cause,0.3357897,0.22132245,0.11446726,-0.11446726
procedural safeguards,0.400511,0.30146173,0.09904927,-0.09904927
predictive policing,0.4118505,0.3309281,0.080922425,-0.080922425
profiling,0.20402218,0.123290345,0.08073184,-0.08073184
probabilistic inference,0.24481615,0.17438759,0.070428565,-0.070428565
redress,0.07619705,0.01142671,0.06477034,-0.06477034
indicators,0.23490064,0.18739511,0.047505528,-0.047505528
identification,0.15968388,0.12520777,0.034476116,-0.034476116
evidence-based,0.25959384,0.23231187,0.02728197,-0.02728197
presumption of innocence,0.23817551,0.24002673,-0.001851216,0.001851216
oversight,0.34183922,0.37793505,-0.036095828,0.036095828
transparency,0.15979522,0.19975184,-0.039956614,0.039956614
legal safeguards,0.36540967,0.44022238,-0.07481271,0.07481271
limitation,0.09429141,0.17122787,-0.07693646,0.07693646
non-discrimination,0.10476877,0.18230714,-0.07753837,0.07753837
accountability,0.26144636,0.34452674,-0.08308038,0.08308038
independent review,0.1040434,0.21146892,-0.10742552,0.10742552
necessity,0.15965745,0.27467415,-0.1150167,0.1150167
rights protection,0.2831924,0.42988,-0.1466876,0.1466876
due process,0.16217844,0.33146682,-0.16928838,0.16928838
lawful basis,0.15304977,0.3349073,-0.18185753,0.18185753
judicial warrant,0.21138278,0.4377163,-0.22633353,0.22633353
legal certainty,0.28099245,0.5198581,-0.23886567,0.23886567
proportionality,0.027683083,0.2746121,-0.24692902,0.24692902
constitutional guarantees,0.21543589,0.4915139,-0.27607802,0.27607802
judicial oversight,0.23153567,0.59090394,-0.35936826,0.35936826
rule of law,0.11861531,0.4787253,-0.36011,0.36011
legality,0.09563812,0.45727724,-0.3616391,0.3616391
fundamental rights,0.078500286,0.47010553,-0.39160526,0.39160526
